Channel ID,Channel URL,Channel title
UCDNNWj0oAFXngcwHAwnwP4w,http://www.youtube.com/channel/UCDNNWj0oAFXngcwHAwnwP4w,Jinvani Channel
UCDUgBJnjkswDhJfAsS4GjJg,http://www.youtube.com/channel/UCDUgBJnjkswDhJfAsS4GjJg,Kaviraj Singh
UCDgXOB9egdGU2ub9TQTSu4w,http://www.youtube.com/channel/UCDgXOB9egdGU2ub9TQTSu4w,Mumukshu Org
UCDtzR7exCkjFIn8E7DBqfIg,http://www.youtube.com/channel/UCDtzR7exCkjFIn8E7DBqfIg,MoBlack Records
UCE26JC55IT8fJUTMgXsBuZQ,http://www.youtube.com/channel/UCE26JC55IT8fJUTMgXsBuZQ,Anirban Dasgupta
UCEAZeUIeJs0IjQiqTCdVSIg,http://www.youtube.com/channel/UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance
UCEIwxahdLz7bap-VDs9h35A,http://www.youtube.com/channel/UCEIwxahdLz7bap-VDs9h35A,Steve Mould
UCEPWaN-XiZqEQAPiwvBa3ng,http://www.youtube.com/channel/UCEPWaN-XiZqEQAPiwvBa3ng,Tae Kim - Financial Tortoise
UCESLZhusAkFfsNsApnjF_Cg,http://www.youtube.com/channel/UCESLZhusAkFfsNsApnjF_Cg,All-In Podcast
UCESh5daDcPqvG0QhbSdzIzw,http://www.youtube.com/channel/UCESh5daDcPqvG0QhbSdzIzw,Millionaires Investment Secrets
UCE_M8A5yxnLfW0KghEeajjw,http://www.youtube.com/channel/UCE_M8A5yxnLfW0KghEeajjw,Apple
UCEiCmSMqNJ-qqeW9fEUcA4g,http://www.youtube.com/channel/UCEiCmSMqNJ-qqeW9fEUcA4g,The Grade Cricketer
UCEzB47eM-HZu04f4mB2nycg,http://www.youtube.com/channel/UCEzB47eM-HZu04f4mB2nycg,Delhi Capitals
UCF4QKhPMP1JybbkIJzIayww,http://www.youtube.com/channel/UCF4QKhPMP1JybbkIJzIayww,BBC News India
UCF8HUTbUwPKh2Q-KpGOCVGw,http://www.youtube.com/channel/UCF8HUTbUwPKh2Q-KpGOCVGw,CNBC International Live
UCFCEuCsyWP0YkP3CZ3Mr01Q,http://www.youtube.com/channel/UCFCEuCsyWP0YkP3CZ3Mr01Q,The Plain Bagel
UCFe2Kq8Hg15UomoVYdmRg_Q,http://www.youtube.com/channel/UCFe2Kq8Hg15UomoVYdmRg_Q,Socially Inept
UCFgLVT2pfhYfYOuqgt5NgUg,http://www.youtube.com/channel/UCFgLVT2pfhYfYOuqgt5NgUg,Moojo - Topic
UCFgaSzaqHMCmzGMlN2aEG9Q,http://www.youtube.com/channel/UCFgaSzaqHMCmzGMlN2aEG9Q,Angad Ranyal
UCFhXFikryT4aFcLkLw2LBLA,http://www.youtube.com/channel/UCFhXFikryT4aFcLkLw2LBLA,NileRed
UCFhk_JAfHa_ONUwUNKDtl3A,http://www.youtube.com/channel/UCFhk_JAfHa_ONUwUNKDtl3A,KuchBhiMehta
UCFtEEv80fQVKkD4h1PF-Xqw,http://www.youtube.com/channel/UCFtEEv80fQVKkD4h1PF-Xqw,Microsoft
UCGBoWe1mzCvbbqDNncmxm8A,http://www.youtube.com/channel/UCGBoWe1mzCvbbqDNncmxm8A,FINAiUS
UCGDQNvybfDDeGTf4GtigXaw,http://www.youtube.com/channel/UCGDQNvybfDDeGTf4GtigXaw,DD India
UCGHZpIpAWJQ-Jy_CeCdXhMA,http://www.youtube.com/channel/UCGHZpIpAWJQ-Jy_CeCdXhMA,Cool Worlds
UCGX7nGXpz-CmO_Arg-cgJ7A,http://www.youtube.com/channel/UCGX7nGXpz-CmO_Arg-cgJ7A,PBD Podcast
UCGYf0VFdlSTzcJghW9z1DAA,http://www.youtube.com/channel/UCGYf0VFdlSTzcJghW9z1DAA,The National News
UCGfFUc6eWxfbtjYeun6r9xg,http://www.youtube.com/channel/UCGfFUc6eWxfbtjYeun6r9xg,FloatHeadPhysics
UCGlMOIZ1A3zluwLXTGpzZfw,http://www.youtube.com/channel/UCGlMOIZ1A3zluwLXTGpzZfw,Richard J Murphy
UCGmhWgV9bmslB0Levatl6qA,http://www.youtube.com/channel/UCGmhWgV9bmslB0Levatl6qA,Harsh gujral
UCGwuxdEeCf0TIA2RbPOj-8g,http://www.youtube.com/channel/UCGwuxdEeCf0TIA2RbPOj-8g,Stanford Graduate School of Business
UCGy7SkBjcIAgTiwkXEtPnYg,http://www.youtube.com/channel/UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh
UCH4BNI0-FOK2dMXoFtViWHw,http://www.youtube.com/channel/UCH4BNI0-FOK2dMXoFtViWHw,Be Smart
UCH8unBDwN6xiIjae1EcKEaA,http://www.youtube.com/channel/UCH8unBDwN6xiIjae1EcKEaA,The Rundown
UCHB7C9wDcFQguDm84nh9KCw,http://www.youtube.com/channel/UCHB7C9wDcFQguDm84nh9KCw,Dhvani Bhanushali
UCHOKvQW2N4kLVhKYn2bvF7A,http://www.youtube.com/channel/UCHOKvQW2N4kLVhKYn2bvF7A,Prakhar Gupta
UCHYeaAH3D-wzQyDiXndSfMA,http://www.youtube.com/channel/UCHYeaAH3D-wzQyDiXndSfMA,Mark J Kohler
UCHd62-u_v4DvJ8TCFtpi4GA,http://www.youtube.com/channel/UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIALMKvObZNtJ6AmdCLP7Lg,http://www.youtube.com/channel/UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television
UCIHdDJ0tjn_3j-FS7s_X1kQ,http://www.youtube.com/channel/UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment
UCIPnPp27nvOVQmbmuz1ioyg,http://www.youtube.com/channel/UCIPnPp27nvOVQmbmuz1ioyg,Devesh Dixit
UCIRzxohZ6SbwsPqHFQGMJ7A,http://www.youtube.com/channel/UCIRzxohZ6SbwsPqHFQGMJ7A,Milken Institute
UCIVqN2dzuLZ991bs9gVPQUQ,http://www.youtube.com/channel/UCIVqN2dzuLZ991bs9gVPQUQ,CNN Travel
UCIf6t3gpKr_D46xuWlj9UAQ,http://www.youtube.com/channel/UCIf6t3gpKr_D46xuWlj9UAQ,Knowledge at Wharton
UCIlU5KDHKFSaebYviKfOidw,http://www.youtube.com/channel/UCIlU5KDHKFSaebYviKfOidw,Newsthink
UCIr0vkvqiYN3DGs44U5eGsw,http://www.youtube.com/channel/UCIr0vkvqiYN3DGs44U5eGsw,G‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ 
UCJA-NQ4MtcRIog66wziD8fA,http://www.youtube.com/channel/UCJA-NQ4MtcRIog66wziD8fA,Sri Lanka Cricket
UCJBprhMtYfZ1ftVw9IOmspA,http://www.youtube.com/channel/UCJBprhMtYfZ1ftVw9IOmspA,Shashi Dhiman
UCJEtD6JDgNKxcPJPBOAf-Tg,http://www.youtube.com/channel/UCJEtD6JDgNKxcPJPBOAf-Tg,NDTV Profit Markets
UCJIfeSCssxSC_Dhc5s7woww,http://www.youtube.com/channel/UCJIfeSCssxSC_Dhc5s7woww,Lex Clips
UCJQJAI7IjbLcpsjWdSzYz0Q,http://www.youtube.com/channel/UCJQJAI7IjbLcpsjWdSzYz0Q,Thu Vu
UCJS9pqu9BzkAMNTmzNMNhvg,http://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech
UCJVSs3f-sSMZcIV89Xs-R4A,http://www.youtube.com/channel/UCJVSs3f-sSMZcIV89Xs-R4A,Amit Tandon
